event_id,method,n_files,n_real,prec_at_1,prec_at_3,recall_at_5,triage_sec,found_first,repo
elasticsearch-ev00103,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00104,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00105,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00106,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00107,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00108,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00109,pre_only,8,4,1.0,0.6666666666666666,0.75,0,1,elasticsearch
elasticsearch-ev00110,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00111,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00112,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00113,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00114,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00115,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00116,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00117,pre_only,7,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00118,pre_only,5,3,0.0,0.6666666666666666,1.0,30,1,elasticsearch
elasticsearch-ev00119,pre_only,8,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00120,pre_only,7,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00121,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00122,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00123,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00124,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00125,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00126,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00127,pre_only,4,2,0.0,0.3333333333333333,1.0,30,1,elasticsearch
elasticsearch-ev00128,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00129,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00130,pre_only,5,3,0.0,0.6666666666666666,1.0,30,1,elasticsearch
elasticsearch-ev00131,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00132,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00133,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00134,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00135,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00136,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00137,pre_only,8,4,1.0,0.6666666666666666,0.75,0,1,elasticsearch
elasticsearch-ev00138,pre_only,4,2,0.0,0.6666666666666666,1.0,30,1,elasticsearch
elasticsearch-ev00139,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00140,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00141,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00142,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00143,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00144,pre_only,6,3,1.0,0.6666666666666666,0.6666666666666666,0,1,elasticsearch
elasticsearch-ev00145,pre_only,8,4,0.0,0.6666666666666666,1.0,30,1,elasticsearch
elasticsearch-ev00146,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00147,pre_only,8,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00148,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00149,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00150,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00151,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00152,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00153,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00154,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00155,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
